Time (ms), Voltage (V)
0,5
10,4.55
20,4.11
30,3.7
40,3.33
50,3.03
60,2.73
70,2.49
80,2.24
90,2.03
100,1.84
110,1.67
120,1.52
130,1.39
140,1.26
150,1.14
160,1.04
170,0.94
180,0.86
190,0.78
200,0.71
210,0.65
220,0.59
230,0.54
240,0.49
250,0.45
260,0.41
270,0.37
280,0.34
290,0.31
300,0.28
